house_type,house_size,city,location,,price
3BHK ,"3,000",Delhi,South Extension 2,,140000
3BHK ,"2,000",Delhi,Panchsheel Enclave,,110000
3BHK ,"2,700",Delhi,Jor bagh,,300000
3BHK ,"1,900",Delhi,Panchsheel Enclave,,95000
4BHK ,"4,000",Delhi,Panchsheel Park,,250000
3BHK ,"3,600",Delhi,Anand Niketan,,190000
3BHK ,"2,500",Delhi,Safdarjung Enclave,,80000
3BHK ,"1,800",Delhi,South Extension 2,,150000
2BHK ,"1,500",Delhi,Safdarjung Enclave,,70000
3BHK ,"1,900",Delhi,Safdarjung Development Area,,140000
3BHK ,"1,800",Delhi,Greater kailash 1,,95000
4BHK ,"4,500",Delhi,Hauz Khas,,140000
3BHK ,"2,700",Delhi,Green Park Extension,,90000
2BHK ,"1,800",Delhi,Green Park,,70000
3BHK ,"2,000",Delhi,Greater Kailash,,90000
3BHK ,"3,000",Delhi,South Extension 2,,95000
2BHK ,"1,800",Delhi,Greater kailash 1,,70000
3BHK ,"1,900",Delhi,Green Park Extension,,60000
4BHK ,"2,000",Delhi,Hauz Khas,,150000
3BHK ,"3,200",Delhi,Jor bagh,,290000
4BHK ,"2,200",Delhi,Anand Lok,,190000
3BHK ,"2,000",Delhi,East of Kailash,,80000
4BHK ,"3,200",Delhi,Vasant Vihar,,150000
3BHK ,"3,000",Delhi,Safdarjung Enclave,,140000
3BHK ,"2,000",Delhi,South Extension 2,,95000
3BHK ,"2,000",Delhi,Gulmohar park,,130000
4BHK ,"5,400",Delhi,Vasant Vihar,,250000
2BHK ,810,Delhi,Uttam Nagar,,10000
2BHK ,"1,000",Delhi,Zone L Dwarka,,25000
3BHK ,"2,700",Delhi,Green Park Extension,,108000
3BHK ,"1,800",Delhi,Rajouri Garden,,50000
4BHK ,"2,700",Delhi,Rajouri Garden,,65000
1BHK ,450,Delhi,Govindpuri Extension,,12000
3BHK ,"1,800",Delhi,Mansarover Garden,,55000
4BHK ,"2,700",Delhi,Rajouri Garden,,70000
3BHK ,"1,800",Delhi,Raja garden,,50000
1BHK ,360,Delhi,Dabri,,8000
3BHK ,"1,800",Delhi,Pitampura,,70000
3BHK ,"1,050",Delhi,Shastri Nagar,,28000
3BHK ,"1,400",Delhi,Kalkaji,,32000
2BHK ,550,Delhi,Shastri Nagar,,12500
3BHK ,"2,700",Delhi,Green Park,,80000
4BHK ,"4,500",Delhi,Panchsheel Park,,130000
2BHK ,"1,800",Delhi,Defence Colony,,65000
3BHK ,"2,250",Delhi,Sarvodaya Enclave,,75000
2BHK ,"1,300",Delhi,Kalu Sarai,,52000
3BHK ,"2,250",Delhi,Green Park Extension,,125000
3BHK ,"1,800",Delhi,Rajouri Garden,,44000
3BHK ,"1,800",Delhi,Kirti Nagar,,50000
3BHK ,"1,800",Delhi,Tagore Garden Extension,,52000
3BHK ,"1,800",Delhi,Pitampura,,60000
3BHK ,"1,800",Delhi,Pitampura,,50000
3BHK ,"1,800",Delhi,Pitampura,,50000
2BHK ,"1,500",Delhi,Rajouri Garden,,38000
3BHK ,"1,800",Delhi,Ramesh Nagar,,40000
1BHK ,700,Delhi,Raja garden,,18000
3BHK ,"1,800",Delhi,Pitampura,,50000
3BHK ,"1,800",Delhi,Pitampura,,50000
3BHK ,"2,200",Delhi,Sector 12 Dwarka,,64000
3BHK ,"1,400",Delhi,Ramesh Nagar,,35000
3BHK ,"2,700",Delhi,Defence Colony,,170000
3BHK ,"1,800",Delhi,Pitampura,,55000
4BHK ,"2,400",Delhi,Sector 4 Dwarka,,45000
3BHK ,"1,600",Delhi,Vasant Kunj,,65000
2BHK ,900,Delhi,Vijay Nagar,,34000
3BHK ,"1,700",Delhi,Sector 12 Dwarka,,38000
3BHK ,"1,800",Delhi,Sector 19 Dwarka,,40000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,36000
3BHK ,"1,700",Delhi,Sector 12 Dwarka,,36000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,37000
3BHK ,"1,700",Delhi,Sector-18 Dwarka,,38000
3BHK ,"1,800",Delhi,Sector 13 Dwarka,,45000
3BHK ,"1,700",Delhi,Sector 4 Dwarka,,36000
3BHK ,"2,200",Delhi,Sector 12 Dwarka,,70000
2BHK ,"1,200",Delhi,Sector 6 Dwarka,,30000
4BHK ,"2,000",Delhi,Sector 19 Dwarka,,65000
4BHK ,"2,400",Delhi,Saket,,70000
2BHK ,"1,200",Delhi,Sector 2 Dwarka,,30000
2BHK ,"1,200",Delhi,Sector 4 Dwarka,,30000
4BHK ,"2,200",Delhi,Sector 7 Dwarka,,70000
3BHK ,"1,700",Delhi,Sector 11 Dwarka,,43000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,40000
2BHK ,"1,100",Delhi,Paschim Vihar,,19000
3BHK ,"1,700",Delhi,Pitampura,,60000
3BHK ,"1,500",Delhi,Paschim Vihar,,42000
3BHK ,"1,800",Delhi,Rajouri Garden,,60000
2BHK ,800,Delhi,Tagore Garden Extension,,27000
3BHK ,"1,600",Delhi,Rajouri Garden,,45000
2BHK ,"1,450",Delhi,Rajouri Garden,,35000
2BHK ,"1,000",Delhi,Subhash Nagar,,25000
3BHK ,"2,000",Delhi,Rajouri Garden,,45000
1BHK ,600,Delhi,Subhash Nagar,,17000
2BHK ,"1,000",Delhi,Subhash Nagar,,25000
2BHK ,951,Delhi,Subhash Nagar,,25500
4BHK ,"2,750",Delhi,Rajouri Garden,,85000
2BHK ,750,Delhi,Tagore Garden Extension,,25000
2BHK ,"1,000",Delhi,Subhash Nagar,,27000
3BHK ,"1,800",Delhi,Rajouri Garden,,55000
4BHK ,"3,000",Delhi,Rajouri Garden,,55000
2BHK ,800,Delhi,Tagore Garden Extension,,22000
1BHK ,650,Delhi,Rajouri Garden,,22000
2BHK ,840,Delhi,Tagore Garden Extension,,28000
2BHK ,950,Delhi,Rajouri Garden,,23000
2BHK ,"1,000",Delhi,Subhash Nagar,,30000
2BHK ,"1,000",Delhi,Subhash Nagar,,27000
3BHK ,"1,600",Delhi,Rajouri Garden,,45000
